season,circuit,Driver,compound,tyre_age,stint,stint_lap,lap_time_s,driver_fastest_lap_s,fuel_corrected_delta,lap_time_delta,data_source
2018,Silverstone,HUL,MEDIUM,4,1,2,95.303,95.088,0.3250000000000034,0.3250000000000034,fastf1_real
2018,Silverstone,HUL,MEDIUM,5,1,3,95.608,95.088,0.6850000000000103,0.6850000000000103,fastf1_real
2018,Silverstone,HUL,MEDIUM,6,1,4,95.829,95.088,0.9609999999999996,0.9609999999999996,fastf1_real
2018,Silverstone,HUL,MEDIUM,7,1,5,95.417,95.088,0.6040000000000078,0.6040000000000078,fastf1_real
2018,Silverstone,HUL,MEDIUM,8,1,6,95.492,95.088,0.7340000000000106,0.7340000000000106,fastf1_real
2018,Silverstone,HUL,MEDIUM,9,1,7,96.624,95.088,1.9210000000000014,1.9210000000000014,fastf1_real
2018,Silverstone,HUL,MEDIUM,10,1,8,95.421,95.088,0.7730000000000126,0.7730000000000126,fastf1_real
2018,Silverstone,HUL,MEDIUM,11,1,9,95.244,95.088,0.6510000000000059,0.6510000000000059,fastf1_real
2018,Silverstone,HUL,MEDIUM,12,1,10,95.846,95.088,1.3080000000000098,1.3080000000000098,fastf1_real
2018,Silverstone,HUL,MEDIUM,13,1,11,95.615,95.088,1.132000000000001,1.132000000000001,fastf1_real
2018,Silverstone,HUL,MEDIUM,14,1,12,95.467,95.088,1.039000000000005,1.039000000000005,fastf1_real
2018,Silverstone,HUL,MEDIUM,15,1,13,95.03,95.088,0.6570000000000072,0.6570000000000072,fastf1_real
2018,Silverstone,HUL,MEDIUM,16,1,14,96.283,95.03,2.023,2.023,fastf1_real
2018,Silverstone,HUL,MEDIUM,17,1,15,95.3,95.03,1.094999999999996,1.094999999999996,fastf1_real
2018,Silverstone,HUL,HARD,2,2,1,95.281,95.03,0.30600000000000477,0.30600000000000477,fastf1_real
2018,Silverstone,HUL,HARD,3,2,2,95.443,95.03,0.5229999999999967,0.5229999999999967,fastf1_real
2018,Silverstone,HUL,HARD,4,2,3,95.629,95.03,0.7640000000000038,0.7640000000000038,fastf1_real
2018,Silverstone,HUL,HARD,5,2,4,95.641,95.03,0.8310000000000042,0.8310000000000042,fastf1_real
2018,Silverstone,HUL,HARD,6,2,5,95.217,95.03,0.46199999999999763,0.46199999999999763,fastf1_real
2018,Silverstone,HUL,HARD,7,2,6,95.633,95.03,0.9329999999999945,0.9329999999999945,fastf1_real
2018,Silverstone,HUL,HARD,8,2,7,95.335,95.03,0.6899999999999926,0.6899999999999926,fastf1_real
2018,Silverstone,HUL,HARD,9,2,8,94.997,95.03,0.40699999999999875,0.40699999999999875,fastf1_real
2018,Silverstone,HUL,HARD,10,2,9,94.824,94.997,0.3219999999999982,0.3219999999999982,fastf1_real
2018,Silverstone,HUL,HARD,11,2,10,95.055,94.824,0.7810000000000088,0.7810000000000088,fastf1_real
2018,Silverstone,HUL,HARD,22,2,11,94.429,94.824,0.21000000000000396,0.21000000000000396,fastf1_real
2018,Silverstone,HUL,HARD,23,2,12,94.175,94.429,0.40599999999999514,0.40599999999999514,fastf1_real
2018,Silverstone,HUL,HARD,24,2,13,94.191,94.175,0.7310000000000053,0.7310000000000053,fastf1_real
2018,Silverstone,HUL,HARD,25,2,14,93.903,94.175,0.49800000000000866,0.49800000000000866,fastf1_real
2018,Silverstone,HUL,HARD,29,2,15,93.87,93.903,0.7919999999999987,0.7919999999999987,fastf1_real
2018,Silverstone,HUL,HARD,30,2,16,93.902,93.87,0.9119999999999965,0.9119999999999965,fastf1_real
2018,Silverstone,HUL,HARD,31,2,17,93.881,93.87,0.9459999999999957,0.9459999999999957,fastf1_real
2018,Silverstone,HUL,HARD,32,2,18,93.784,93.87,0.9040000000000015,0.9040000000000015,fastf1_real
2018,Silverstone,RIC,SOFT,6,1,1,94.024,94.024,0.055,0.055,fastf1_real
